"CultureName","Name","FormatString"
"am","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"am","YearMonthPattern","MMMM yyyy"
"am-ET","FullDateTimePattern","yyyy MMMM d, dddd h:mm:ss tt"
"am-ET","LongDatePattern","yyyy MMMM d, dddd"
"am-ET","LongTimePattern","h:mm:ss tt"
"am-ET","MonthDayPattern","MMMM d"
"am-ET","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"am-ET","ShortDatePattern","dd/MM/yyyy"
"am-ET","ShortTimePattern","h:mm tt"
"am-ET","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"am-ET","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"am-ET","YearMonthPattern","MMMM yyyy"
"ar","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar","LongDatePattern","dddd، d MMMM yyyy"
"ar","LongTimePattern","h:mm:ss tt"
"ar","MonthDayPattern","d MMMM"
"ar","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar","ShortDatePattern","d‏/M‏/yyyy"
"ar","ShortTimePattern","h:mm tt"
"ar","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar","YearMonthPattern","MMMM yyyy"
"ar-001","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-001","LongDatePattern","dddd، d MMMM yyyy"
"ar-001","LongTimePattern","h:mm:ss tt"
"ar-001","MonthDayPattern","d MMMM"
"ar-001","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-001","ShortDatePattern","d‏/M‏/yyyy"
"ar-001","ShortTimePattern","h:mm tt"
"ar-001","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-001","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-001","YearMonthPattern","MMMM yyyy"
"ar-AE","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-AE","LongDatePattern","dddd، d MMMM yyyy"
"ar-AE","LongTimePattern","h:mm:ss tt"
"ar-AE","MonthDayPattern","d MMMM"
"ar-AE","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-AE","ShortDatePattern","d‏/M‏/yyyy"
"ar-AE","ShortTimePattern","h:mm tt"
"ar-AE","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-AE","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-AE","YearMonthPattern","MMMM yyyy"
"ar-BH","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-BH","LongDatePattern","dddd، d MMMM yyyy"
"ar-BH","LongTimePattern","h:mm:ss tt"
"ar-BH","MonthDayPattern","d MMMM"
"ar-BH","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-BH","ShortDatePattern","d‏/M‏/yyyy"
"ar-BH","ShortTimePattern","h:mm tt"
"ar-BH","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-BH","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-BH","YearMonthPattern","MMMM yyyy"
"ar-DJ","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-DJ","LongDatePattern","dddd، d MMMM yyyy"
"ar-DJ","LongTimePattern","h:mm:ss tt"
"ar-DJ","MonthDayPattern","d MMMM"
"ar-DJ","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-DJ","ShortDatePattern","d‏/M‏/yyyy"
"ar-DJ","ShortTimePattern","h:mm tt"
"ar-DJ","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-DJ","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-DJ","YearMonthPattern","MMMM yyyy"
"ar-DZ","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-DZ","LongDatePattern","dddd، d MMMM yyyy"
"ar-DZ","LongTimePattern","h:mm:ss tt"
"ar-DZ","MonthDayPattern","d MMMM"
"ar-DZ","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-DZ","ShortDatePattern","d‏/M‏/yyyy"
"ar-DZ","ShortTimePattern","h:mm tt"
"ar-DZ","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-DZ","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-DZ","YearMonthPattern","MMMM yyyy"
"ar-EG","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-EG","LongDatePattern","dddd، d MMMM yyyy"
"ar-EG","LongTimePattern","h:mm:ss tt"
"ar-EG","MonthDayPattern","d MMMM"
"ar-EG","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-EG","ShortDatePattern","d‏/M‏/yyyy"
"ar-EG","ShortTimePattern","h:mm tt"
"ar-EG","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-EG","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-EG","YearMonthPattern","MMMM yyyy"
"ar-ER","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-ER","LongDatePattern","dddd، d MMMM yyyy"
"ar-ER","LongTimePattern","h:mm:ss tt"
"ar-ER","MonthDayPattern","d MMMM"
"ar-ER","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-ER","ShortDatePattern","d‏/M‏/yyyy"
"ar-ER","ShortTimePattern","h:mm tt"
"ar-ER","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-ER","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-ER","YearMonthPattern","MMMM yyyy"
"ar-IL","FullDateTimePattern","dddd، d MMMM yyyy H:mm:ss"
"ar-IL","LongDatePattern","dddd، d MMMM yyyy"
"ar-IL","LongTimePattern","H:mm:ss"
"ar-IL","MonthDayPattern","d MMMM"
"ar-IL","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-IL","ShortDatePattern","d‏/M‏/yyyy"
"ar-IL","ShortTimePattern","H:mm"
"ar-IL","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-IL","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-IL","YearMonthPattern","MMMM yyyy"
"ar-IQ","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-IQ","LongDatePattern","dddd، d MMMM yyyy"
"ar-IQ","LongTimePattern","h:mm:ss tt"
"ar-IQ","MonthDayPattern","d MMMM"
"ar-IQ","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-IQ","ShortDatePattern","d‏/M‏/yyyy"
"ar-IQ","ShortTimePattern","h:mm tt"
"ar-IQ","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-IQ","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-IQ","YearMonthPattern","MMMM yyyy"
"ar-JO","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-JO","LongDatePattern","dddd، d MMMM yyyy"
"ar-JO","LongTimePattern","h:mm:ss tt"
"ar-JO","MonthDayPattern","d MMMM"
"ar-JO","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-JO","ShortDatePattern","d‏/M‏/yyyy"
"ar-JO","ShortTimePattern","h:mm tt"
"ar-JO","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-JO","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-JO","YearMonthPattern","MMMM yyyy"
"ar-KM","FullDateTimePattern","dddd، d MMMM yyyy HH:mm:ss"
"ar-KM","LongDatePattern","dddd، d MMMM yyyy"
"ar-KM","LongTimePattern","HH:mm:ss"
"ar-KM","MonthDayPattern","d MMMM"
"ar-KM","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-KM","ShortDatePattern","d‏/M‏/yyyy"
"ar-KM","ShortTimePattern","HH:mm"
"ar-KM","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-KM","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-KM","YearMonthPattern","MMMM yyyy"
"ar-KW","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-KW","LongDatePattern","dddd، d MMMM yyyy"
"ar-KW","LongTimePattern","h:mm:ss tt"
"ar-KW","MonthDayPattern","d MMMM"
"ar-KW","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-KW","ShortDatePattern","d‏/M‏/yyyy"
"ar-KW","ShortTimePattern","h:mm tt"
"ar-KW","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-KW","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-KW","YearMonthPattern","MMMM yyyy"
"ar-LB","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-LB","LongDatePattern","dddd، d MMMM yyyy"
"ar-LB","LongTimePattern","h:mm:ss tt"
"ar-LB","MonthDayPattern","d MMMM"
"ar-LB","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-LB","ShortDatePattern","d‏/M‏/yyyy"
"ar-LB","ShortTimePattern","h:mm tt"
"ar-LB","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-LB","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-LB","YearMonthPattern","MMMM yyyy"
"ar-LY","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-LY","LongDatePattern","dddd، d MMMM yyyy"
"ar-LY","LongTimePattern","h:mm:ss tt"
"ar-LY","MonthDayPattern","d MMMM"
"ar-LY","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-LY","ShortDatePattern","d‏/M‏/yyyy"
"ar-LY","ShortTimePattern","h:mm tt"
"ar-LY","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-LY","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-LY","YearMonthPattern","MMMM yyyy"
"ar-MA","FullDateTimePattern","dddd، d MMMM yyyy HH:mm:ss"
"ar-MA","LongDatePattern","dddd، d MMMM yyyy"
"ar-MA","LongTimePattern","HH:mm:ss"
"ar-MA","MonthDayPattern","d MMMM"
"ar-MA","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-MA","ShortDatePattern","d‏/M‏/yyyy"
"ar-MA","ShortTimePattern","HH:mm"
"ar-MA","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-MA","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-MA","YearMonthPattern","MMMM yyyy"
"ar-MR","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-MR","LongDatePattern","dddd، d MMMM yyyy"
"ar-MR","LongTimePattern","h:mm:ss tt"
"ar-MR","MonthDayPattern","d MMMM"
"ar-MR","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-MR","ShortDatePattern","d‏/M‏/yyyy"
"ar-MR","ShortTimePattern","h:mm tt"
"ar-MR","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-MR","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-MR","YearMonthPattern","MMMM yyyy"
"ar-OM","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-OM","LongDatePattern","dddd، d MMMM yyyy"
"ar-OM","LongTimePattern","h:mm:ss tt"
"ar-OM","MonthDayPattern","d MMMM"
"ar-OM","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-OM","ShortDatePattern","d‏/M‏/yyyy"
"ar-OM","ShortTimePattern","h:mm tt"
"ar-OM","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-OM","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-OM","YearMonthPattern","MMMM yyyy"
"ar-PS","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-PS","LongDatePattern","dddd، d MMMM yyyy"
"ar-PS","LongTimePattern","h:mm:ss tt"
"ar-PS","MonthDayPattern","d MMMM"
"ar-PS","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-PS","ShortDatePattern","d‏/M‏/yyyy"
"ar-PS","ShortTimePattern","h:mm tt"
"ar-PS","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-PS","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-PS","YearMonthPattern","MMMM yyyy"
"ar-QA","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-QA","LongDatePattern","dddd، d MMMM yyyy"
"ar-QA","LongTimePattern","h:mm:ss tt"
"ar-QA","MonthDayPattern","d MMMM"
"ar-QA","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-QA","ShortDatePattern","d‏/M‏/yyyy"
"ar-QA","ShortTimePattern","h:mm tt"
"ar-QA","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-QA","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-QA","YearMonthPattern","MMMM yyyy"
"ar-SA","FullDateTimePattern","dddd، d MMMM yyyy g h:mm:ss tt"
"ar-SA","LongDatePattern","dddd، d MMMM yyyy g"
"ar-SA","LongTimePattern","h:mm:ss tt"
"ar-SA","MonthDayPattern","d MMMM"
"ar-SA","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-SA","ShortDatePattern","d‏/M‏/yyyy g"
"ar-SA","ShortTimePattern","h:mm tt"
"ar-SA","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-SA","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-SA","YearMonthPattern","MMMM yyyy g"
"ar-SD","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-SD","LongDatePattern","dddd، d MMMM yyyy"
"ar-SD","LongTimePattern","h:mm:ss tt"
"ar-SD","MonthDayPattern","d MMMM"
"ar-SD","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-SD","ShortDatePattern","d‏/M‏/yyyy"
"ar-SD","ShortTimePattern","h:mm tt"
"ar-SD","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-SD","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-SD","YearMonthPattern","MMMM yyyy"
"ar-SO","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-SO","LongDatePattern","dddd، d MMMM yyyy"
"ar-SO","LongTimePattern","h:mm:ss tt"
"ar-SO","MonthDayPattern","d MMMM"
"ar-SO","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-SO","ShortDatePattern","d‏/M‏/yyyy"
"ar-SO","ShortTimePattern","h:mm tt"
"ar-SO","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-SO","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-SO","YearMonthPattern","MMMM yyyy"
"ar-SS","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-SS","LongDatePattern","dddd، d MMMM yyyy"
"ar-SS","LongTimePattern","h:mm:ss tt"
"ar-SS","MonthDayPattern","d MMMM"
"ar-SS","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-SS","ShortDatePattern","d‏/M‏/yyyy"
"ar-SS","ShortTimePattern","h:mm tt"
"ar-SS","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-SS","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-SS","YearMonthPattern","MMMM yyyy"
"ar-SY","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-SY","LongDatePattern","dddd، d MMMM yyyy"
"ar-SY","LongTimePattern","h:mm:ss tt"
"ar-SY","MonthDayPattern","d MMMM"
"ar-SY","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-SY","ShortDatePattern","d‏/M‏/yyyy"
"ar-SY","ShortTimePattern","h:mm tt"
"ar-SY","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-SY","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-SY","YearMonthPattern","MMMM yyyy"
"ar-TD","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-TD","LongDatePattern","dddd، d MMMM yyyy"
"ar-TD","LongTimePattern","h:mm:ss tt"
"ar-TD","MonthDayPattern","d MMMM"
"ar-TD","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-TD","ShortDatePattern","d‏/M‏/yyyy"
"ar-TD","ShortTimePattern","h:mm tt"
"ar-TD","SortableDateTimePattern","yyyy'-'MM'-'dd'T'HH':'mm':'ss"
"ar-TD","UniversalSortableDateTimePattern","yyyy'-'MM'-'dd HH':'mm':'ss'Z'"
"ar-TD","YearMonthPattern","MMMM yyyy"
"ar-TN","FullDateTimePattern","dddd، d MMMM yyyy h:mm:ss tt"
"ar-TN","LongDatePattern","dddd، d MMMM yyyy"
"ar-TN","LongTimePattern","h:mm:ss tt"
"ar-TN","MonthDayPattern","d MMMM"
"ar-TN","RFC1123Pattern","ddd, dd MMM yyyy HH':'mm':'ss 'GMT'"
"ar-TN","ShortDatePattern","d‏/M‏/yyyy"
"ar-TN","ShortTimePattern","h:mm tt"
